,index,name,Day_Night,address,addressLocality,MapsLink,telephone
398,18,Gnaoui Houcine ,Pharmacie de jours,"  22,RUE DE L'INDEPENDANCE",Kasserine ,"http://maps.google.com/?q= 22,RUE DE L'INDEPENDANCE, Tunisie, Kasserine",['  77 47 14 07  ']
399,19,Boulila Hatem ,Pharmacie de nuit,  AVENUE 7 NOVEMBRE,Béja ,"http://maps.google.com/?q= AVENUE 7 NOVEMBRE, Tunisie, Béja",
400,0,Baklouti Sarra Ep Achich ,Pharmacie de jours,  ROUTE DE GABES KM 9 TYNA SFAX,Sfax ,"http://maps.google.com/?q= ROUTE DE GABES KM 9 TYNA SFAX, Tunisie, Sfax",['  74 28 98 86  ']
401,1,Habib Bechir ,Pharmacie de jours,  16 Rue d'Ath?ne,Tunis ,"http://maps.google.com/?q= 16 Rue d'Ath?ne, Tunisie, Tunis",
402,2,Mamlouk Trifi Faouzia ,Pharmacie de jours,"  43,AVENUE 7 NOVEMBRE",Bizerte ,"http://maps.google.com/?q= 43,AVENUE 7 NOVEMBRE, Tunisie, Bizerte",['  72 44 92 22  ']
403,3,Mnafakh Noureddine ,Pharmacie de jours,  ROUTE DE JERBA,Médenine ,"http://maps.google.com/?q= ROUTE DE JERBA, Tunisie, Médenine",['  75 68 06 55  ']
404,4,Krifa Ezzeddine ,Pharmacie de jours,  BRADAA,Mahdia ,"http://maps.google.com/?q= BRADAA, Tunisie, Mahdia",['  73 68 52 58  ']
405,5,Ameur Ridha ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA ZAGHOUAN,Zaghouan ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA ZAGHOUAN, Tunisie, Zaghouan",[' 72 676 750']
406,6,Belkhahia Bouchoucha Leila ,Pharmacie de jours,"  9,RUE D'ALGER TUNIS 1001",Tunis ,"http://maps.google.com/?q= 9,RUE D'ALGER TUNIS 1001, Tunisie, Tunis",['  71 25 59 89  ']
407,7,Hasni Abdelfattah ,Pharmacie de jours,  RUE DES JARDINS,Jendouba ,"http://maps.google.com/?q= RUE DES JARDINS, Tunisie, Jendouba",['  78 64 95 38  ']
408,8,Ben Ouanes Mohamed Maher ,Pharmacie de jours,  CITE SAHLOUL 3 AVENUE HOPITAL SAHLOUL SOUSSE JAWHA,Sousse ,"http://maps.google.com/?q= CITE SAHLOUL 3 AVENUE HOPITAL SAHLOUL SOUSSE JAWHA, Tunisie, Sousse",['  73 27 27 35  ']
409,9,Frigui Akram ,Pharmacie de jours,  AVENUE DE L' ENVIRONNEMENT - AMIRET TOUAZRA,Monastir ,"http://maps.google.com/?q= AVENUE DE L' ENVIRONNEMENT - AMIRET TOUAZRA, Tunisie, Monastir",
410,10,Derouich Monia Ep Mokaddem ,Pharmacie de jours,  RESIDENCE IBN KHALDOUN N?5 ANGLE AVENUE DE L'INDEP,Manouba ,"http://maps.google.com/?q= RESIDENCE IBN KHALDOUN N?5 ANGLE AVENUE DE L'INDEP, Tunisie, Manouba",['  71 61 29 05  ']
411,11,Gongi Afef ,Pharmacie de jours,  AVENUE HAJ ALI SOUA,Monastir ,"http://maps.google.com/?q= AVENUE HAJ ALI SOUA, Tunisie, Monastir",['  73 47 39 21  ']
412,12,Klai Sahbi ,Pharmacie de nuit,  AVENUE 7 NOVEMBRE,Sidi Bouzid ,"http://maps.google.com/?q= AVENUE 7 NOVEMBRE, Tunisie, Sidi Bouzid",
413,13,Boussetta Sami ,Pharmacie de jours,"  10,RUE ALI BELHOUENE SOUSSE",Sousse ,"http://maps.google.com/?q= 10,RUE ALI BELHOUENE SOUSSE, Tunisie, Sousse",['  73 22 50 54  ']
414,14,Ghodhbane Najet Ep Ayedi ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA SAKIET EDDAYER,Sfax ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA SAKIET EDDAYER, Tunisie, Sfax",['  74 23 06 33  ']
415,15,Mejri M'sahli Lassaad ,Pharmacie de jours,"  25, RUE AZIZA OTHMANA",Tunis ,"http://maps.google.com/?q= 25, RUE AZIZA OTHMANA, Tunisie, Tunis",
416,16,Louzir Ben Messaoud Aida ,Pharmacie de jours,  LES JARDINS de la soukra(centre commer?ial carre,Tunis ,"http://maps.google.com/?q= LES JARDINS de la soukra(centre commer?ial carre, Tunisie, Tunis",
417,17,Gharbia Amel ,Pharmacie de jours,  RUE DU MAROC HAY EL CHABAB,Gafsa ,"http://maps.google.com/?q= RUE DU MAROC HAY EL CHABAB, Tunisie, Gafsa",
418,18,Cherni Souad ,Pharmacie de jours,"  13,AVENUE HABIB BOURGUIBA TAJEROUINE",Kef ,"http://maps.google.com/?q= 13,AVENUE HABIB BOURGUIBA TAJEROUINE, Tunisie, Kef",['  78 28 71 27  ']
419,19,Belkahla Khemais ,Pharmacie de jours,  PLACE DE L'INDEPENDANCE MEJEZ EL BAB,Béja ,"http://maps.google.com/?q= PLACE DE L'INDEPENDANCE MEJEZ EL BAB, Tunisie, Béja",['  78 46 04 24  ']
420,0,Mellouli Imen Ep Gorgi ,Pharmacie de jours,  Avenue Habib Bourguiba,Tunis ,"http://maps.google.com/?q= Avenue Habib Bourguiba, Tunisie, Tunis",['  71 51 17 95  ']
421,1,Naceur Mohamed Yahia ,Pharmacie de jours,  AVENUE DE LA LIBERTE - CITE BASSATINE,Kef ,"http://maps.google.com/?q= AVENUE DE LA LIBERTE - CITE BASSATINE, Tunisie, Kef",
422,2,Gaahbiche Rached ,Pharmacie de jours,  AVENUE 7 NOVEMBRE - IMMEUBLE SEZAR,Sousse ,"http://maps.google.com/?q= AVENUE 7 NOVEMBRE - IMMEUBLE SEZAR, Tunisie, Sousse",['  73 22 34 43  ']
423,3,Frikha Zouhir ,Pharmacie de nuit,  AVENUE 7 NOVEMBRE,Gabès ,"http://maps.google.com/?q= AVENUE 7 NOVEMBRE, Tunisie, Gabès",
424,4,Hediji Nejib ,Pharmacie de jours,  10 AVENUE EL MHARZA CITE EL HABIB - SFAX,Sfax ,"http://maps.google.com/?q= 10 AVENUE EL MHARZA CITE EL HABIB - SFAX, Tunisie, Sfax",['  74 27 40 19  ']
425,5,Khdhir Anis ,Pharmacie de nuit,  AVENUE 7 NOVEMBRE- CITE ENNOUR,Gafsa ,"http://maps.google.com/?q= AVENUE 7 NOVEMBRE- CITE ENNOUR, Tunisie, Gafsa",
426,6,Feki Mohamed Habib ,Pharmacie de jours,  N?435 PLACE EL KODS,Ariana ,"http://maps.google.com/?q= N?435 PLACE EL KODS, Tunisie, Ariana",['  71 71 08 11  ']
427,7,Hamza Emna ,Pharmacie de jours,  Cit? Intilaka Km 4 Route de Bizerte,Tunis ,"http://maps.google.com/?q= Cit? Intilaka Km 4 Route de Bizerte, Tunisie, Tunis",['  71 55 40 80  ']
428,8,Mahdoui Mohamed ,Pharmacie de jours,"  45,AVENUE CORNICHE SOUSSE",Sousse ,"http://maps.google.com/?q= 45,AVENUE CORNICHE SOUSSE, Tunisie, Sousse",['  73 22 70 71  ']
429,9,Aissaoui Afef ,Pharmacie de jours,  RTE GP3 ENTRE GAFSA ET TUNIS,Sidi Bouzid ,"http://maps.google.com/?q= RTE GP3 ENTRE GAFSA ET TUNIS, Tunisie, Sidi Bouzid",['  76 66 74 57  ']
430,10,Chayata Mohamed Naceur ,Pharmacie de jours,  avenue 15 octobre 1963 - cit? Ezzahra,Sousse ,"http://maps.google.com/?q= avenue 15 octobre 1963 - cit? Ezzahra, Tunisie, Sousse",
431,11,Djellouli Hedia Ep Masmoudi ,Pharmacie de jours,  ROUTE DE GAFSA CITE LA MOSQUEE,Gafsa ,"http://maps.google.com/?q= ROUTE DE GAFSA CITE LA MOSQUEE, Tunisie, Gafsa",['  76 24 01 44  ']
432,12,Hemida Mounir ,Pharmacie de jours,  AVENUE ALI BOURGUIBA -SKANES,Monastir ,"http://maps.google.com/?q= AVENUE ALI BOURGUIBA -SKANES, Tunisie, Monastir",
433,13,Neji Majed ,Pharmacie de nuit,  CITE ERRADHIAA PLACE 7 NOVEMBRE,Nabeul ,"http://maps.google.com/?q= CITE ERRADHIAA PLACE 7 NOVEMBRE, Tunisie, Nabeul",
434,14,Ben Haj Ali Fethia Ep Snoussi ,Pharmacie de jours,"  31,AVENUE 7 NOVEMBRE",Kébili ,"http://maps.google.com/?q= 31,AVENUE 7 NOVEMBRE, Tunisie, Kébili",['  75 47 02 20  ']
435,15,Dhaoui Hichem ,Pharmacie de nuit,  ROUTE DE MORNAGUIA,Tunis ,"http://maps.google.com/?q= ROUTE DE MORNAGUIA, Tunisie, Tunis",
436,16,Ennaifer Thouraya Ep Ammar ,Pharmacie de jours,  AVENUE 7 NOVEMBRE KM 12,Ben Arous ,"http://maps.google.com/?q= AVENUE 7 NOVEMBRE KM 12, Tunisie, Ben Arous",
437,17,Ben Saad Mohamed ,Pharmacie de jours,  RUE SIDI ABDELHAK,Monastir ,"http://maps.google.com/?q= RUE SIDI ABDELHAK, Tunisie, Monastir",['  73 47 72 88  ']
438,18,Meddeb Abdelhamid ,Pharmacie de nuit,  ROUTE DE TUNIS KM 136 HAMMAM SOUSSE,Sousse ,"http://maps.google.com/?q= ROUTE DE TUNIS KM 136 HAMMAM SOUSSE, Tunisie, Sousse",['  73 24 01 57  ']
439,19,Jarraya Abdelrrazek ,Pharmacie de jours,  AVENUE DE L'ENVIRONNEMENT N?41,Sfax ,"http://maps.google.com/?q= AVENUE DE L'ENVIRONNEMENT N?41, Tunisie, Sfax",
440,0,Rouis Mohamed ,Pharmacie de nuit,  AVENUE HABIB BOURGUIBA MOKNINE,Monastir ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA MOKNINE, Tunisie, Monastir",['  73 47 56 90  ']
441,1,Dhaoui Hichem ,Pharmacie de nuit,  ROUTE DE MORNAGUIA,Tunis ,"http://maps.google.com/?q= ROUTE DE MORNAGUIA, Tunisie, Tunis",
442,2,Bouslimi Hatem ,Pharmacie de jours,  AVENUE 7 NOVEMBRE - TOUIREF,Kef ,"http://maps.google.com/?q= AVENUE 7 NOVEMBRE - TOUIREF, Tunisie, Kef",[' 78 240 100']
443,3,El Kateb Rafika Mhiri ,Pharmacie de jours,  RUE 1er MAI,Ben Arous ,"http://maps.google.com/?q= RUE 1er MAI, Tunisie, Ben Arous",['  71 38 07 67  ']
444,4,Rhim Ahmed ,Pharmacie de jours,  IMMEUBLE ROKBANI AVENUE COMBATANT SUPREME ROUTE DE,Monastir ,"http://maps.google.com/?q= IMMEUBLE ROKBANI AVENUE COMBATANT SUPREME ROUTE DE, Tunisie, Monastir",['  73 46 33 22  ']
445,5,Ali Ben Ali ,Pharmacie de nuit,  RUE DE DOUANE,Kef ,"http://maps.google.com/?q= RUE DE DOUANE, Tunisie, Kef",
446,6,Rouis Mohamed ,Pharmacie de nuit,  AVENUE HABIB BOURGUIBA MOKNINE,Monastir ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA MOKNINE, Tunisie, Monastir",['  73 47 56 90  ']
447,7,Kchaou Letaief ,Pharmacie de jours,  RUE TAIEB MHIRI,Kasserine ,"http://maps.google.com/?q= RUE TAIEB MHIRI, Tunisie, Kasserine",
448,8,Chala Mohamed ,Pharmacie de jours,  70 Rue 10800 Cit? Ib Sina,Tunis ,"http://maps.google.com/?q= 70 Rue 10800 Cit? Ib Sina, Tunisie, Tunis",
449,9,Sakka Nawel ,Pharmacie de nuit,  RUE 1er JUIN KALAA KEBIRA,Sousse ,"http://maps.google.com/?q= RUE 1er JUIN KALAA KEBIRA, Tunisie, Sousse",['  73 25 32 48  ']
450,10,Hermassi Moez ,Pharmacie de jours,  AVENUE ABOU BAKER EL FOURATI No 1,Kasserine ,"http://maps.google.com/?q= AVENUE ABOU BAKER EL FOURATI No 1, Tunisie, Kasserine",
451,11,El Askri Imen ,Pharmacie de jours,  AVENUE DE LA REBUPLIQUE - EL CHERAHIL,Monastir ,"http://maps.google.com/?q= AVENUE DE LA REBUPLIQUE - EL CHERAHIL, Tunisie, Monastir",
452,12,Bouden Taoufik ,Pharmacie de jours,  ROUTE DE CHOUTRANA CITE PROMENADE,Ariana ,"http://maps.google.com/?q= ROUTE DE CHOUTRANA CITE PROMENADE, Tunisie, Ariana",['  71 71 26 19  ']
453,13,Amara Zohra Ben Rhouma ,Pharmacie de jours,"  17,RUE 106",Ariana ,"http://maps.google.com/?q= 17,RUE 106, Tunisie, Ariana",
454,14,Ezzaouia Amani ,Pharmacie de jours,  RUE OULED HAFOUZ SIDI AMOR BOUHAJLA,Kairouan ,"http://maps.google.com/?q= RUE OULED HAFOUZ SIDI AMOR BOUHAJLA, Tunisie, Kairouan",['  77 26 62 81  ']
455,15,Chairi Hedi ,Pharmacie de jours,  RUE JAMEL ABDENNACEUR,Gabès ,"http://maps.google.com/?q= RUE JAMEL ABDENNACEUR, Tunisie, Gabès",['  75 23 61 87  ']
456,16,Ben Slimane Sonia ,Pharmacie de jours,  41 BIS AVENUE DU 7 NOVEMBRE 1987,Ben Arous ,"http://maps.google.com/?q= 41 BIS AVENUE DU 7 NOVEMBRE 1987, Tunisie, Ben Arous",['  71 45 28 44  ']
457,17,El Hajji Amel Ep Yahyaoui ,Pharmacie de jours,  AVENUE DE L'ENVIRONNEMENT,Siliana ,"http://maps.google.com/?q= AVENUE DE L'ENVIRONNEMENT, Tunisie, Siliana",
458,18,Jilani Mounir ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA - ROUTE DE GABES,Médenine ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA - ROUTE DE GABES, Tunisie, Médenine",
459,19,Boubtan Mustapha ,Pharmacie de jours,  AVENUE FARHAT HACHED,Médenine ,"http://maps.google.com/?q= AVENUE FARHAT HACHED, Tunisie, Médenine",['  75 68 01 28  ']
460,0,Fazaa Chedli ,Pharmacie de jours,"  5, Boulevard 20 Mars Bab Saadoun",Tunis ,"http://maps.google.com/?q= 5, Boulevard 20 Mars Bab Saadoun, Tunisie, Tunis",['  71 56 45 70  ']
461,1,Baklouti Meriam Ep Jmal ,Pharmacie de jours,  AVENUE 7 NOVEMBRE - MENZEL JEMIL - BIZERTE,Bizerte ,"http://maps.google.com/?q= AVENUE 7 NOVEMBRE - MENZEL JEMIL - BIZERTE, Tunisie, Bizerte",
462,2,Ben Yaghlane Nadhim ,Pharmacie de nuit,  AVENUE TAIEB M'HIRI N°112 - CITE 18 JANVIER,Ariana ,"http://maps.google.com/?q= AVENUE TAIEB M'HIRI N°112 - CITE 18 JANVIER, Tunisie, Ariana",['  non d?finie ']
463,3,Belabed Saadia ,Pharmacie de jours,  ANGLE HABIB BOURGUIBA ET TAHAR HADDAD,Kébili ,"http://maps.google.com/?q= ANGLE HABIB BOURGUIBA ET TAHAR HADDAD, Tunisie, Kébili",['  75 53 01 70  ']
464,4,M'zid Hamadi ,Pharmacie de jours,  ROUTE DE TUNIS KM 4 MERKEZ BOUASSIDA SFAX,Sfax ,"http://maps.google.com/?q= ROUTE DE TUNIS KM 4 MERKEZ BOUASSIDA SFAX, Tunisie, Sfax",['  74 23 04 15  ']
465,5,Bettaieb Messaouda Ep Aouam ,Pharmacie de nuit,  AVENUE HEDI CHAKER CHEBBA - MAHDIA,Mahdia ,"http://maps.google.com/?q= AVENUE HEDI CHAKER CHEBBA - MAHDIA, Tunisie, Mahdia",
466,6,Majdoub Abderraouf ,Pharmacie de jours,  GP1 BORJ CEDRIA HAMMAM CHATT,Ben Arous ,"http://maps.google.com/?q= GP1 BORJ CEDRIA HAMMAM CHATT, Tunisie, Ben Arous",['  71 43 05 22  ']
467,7,Gaahbiche Rached ,Pharmacie de jours,  AVENUE 7 NOVEMBRE - IMMEUBLE SEZAR,Sousse ,"http://maps.google.com/?q= AVENUE 7 NOVEMBRE - IMMEUBLE SEZAR, Tunisie, Sousse",['  73 22 34 43  ']
468,8,Hediji Nejib ,Pharmacie de jours,  10 AVENUE EL MHARZA CITE EL HABIB - SFAX,Sfax ,"http://maps.google.com/?q= 10 AVENUE EL MHARZA CITE EL HABIB - SFAX, Tunisie, Sfax",['  74 27 40 19  ']
469,9,Charni Kais ,Pharmacie de jours,  AVENUEDU MAGREB ARABE - ROUTE NATIONALE N?17 - C,Jendouba ,"http://maps.google.com/?q= AVENUEDU MAGREB ARABE - ROUTE NATIONALE N?17 - C, Tunisie, Jendouba",
470,10,Jilani Labo ,Pharmacie de jours,"  1, Rue de la Mimouzza",Tunis ,"http://maps.google.com/?q= 1, Rue de la Mimouzza, Tunisie, Tunis",[' 71 884 317']
471,11,Barghouchi Mouhiba Bougattef ,Pharmacie de jours,  AVENUE DE LA LIBERTE EL MENZAH 6,Ariana ,"http://maps.google.com/?q= AVENUE DE LA LIBERTE EL MENZAH 6, Tunisie, Ariana",
472,12,Gaaloul Latifa Ep Chargui ,Pharmacie de jours,  IMMEUBLE RASSIL ROUTE GP1 BIR BOURAGBA,Nabeul ,"http://maps.google.com/?q= IMMEUBLE RASSIL ROUTE GP1 BIR BOURAGBA, Tunisie, Nabeul",
473,13,Essoussi Belhassen ,Pharmacie de nuit,  AVENUE ABOU EL KACEM CHEBBI N?20 - CITE KHALED IBN,Manouba ,"http://maps.google.com/?q= AVENUE ABOU EL KACEM CHEBBI N?20 - CITE KHALED IBN, Tunisie, Manouba",
474,14,Boudabbous Zohra ,Pharmacie de jours,  ROUTE EL AIN KM1-IMMEUBLE EL MAHARI,Sfax ,"http://maps.google.com/?q= ROUTE EL AIN KM1-IMMEUBLE EL MAHARI, Tunisie, Sfax",['  74 22 08 50  ']
475,15,Bouchrika Abdelaziz ,Pharmacie de jours,"  145,AVENUE MOHAMED ALI",Gabès ,"http://maps.google.com/?q= 145,AVENUE MOHAMED ALI, Tunisie, Gabès",['  75 27 23 77  ']
476,16,Baklouti Inayet Ep Sellami ,Pharmacie de jours,  ROUTE DE TUNIS KM 22 - IMADET ENNASER - EL HANCH,Sfax ,"http://maps.google.com/?q= ROUTE DE TUNIS KM 22 - IMADET ENNASER - EL HANCH, Tunisie, Sfax",['  74 27 32 40  ']
477,17,Ben Cherifa Mohamed Anouar ,Pharmacie de jours,"  CITE COMMERCIALE,21 AVENUE DE LA REPUBLIQUE",Sousse ,"http://maps.google.com/?q= CITE COMMERCIALE,21 AVENUE DE LA REPUBLIQUE, Tunisie, Sousse",['  73 26 60 70  ']
478,18,Mouaffak Ahlem ,Pharmacie de jours,  AVENUE ABDELAZIZ AL SAOUD IMMEUBLE BANQUE DU SUD,Tunis ,"http://maps.google.com/?q= AVENUE ABDELAZIZ AL SAOUD IMMEUBLE BANQUE DU SUD, Tunisie, Tunis",['  71 57 25 12  ']
479,19,Safta Rached ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA,Monastir ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA, Tunisie, Monastir",['  73 46 24 94  ']
480,0,Rihane Taoufik ,Pharmacie de jours,"  70,ROUTE MENZEL ABDERRAHMEN JARZOUNA",Bizerte ,"http://maps.google.com/?q= 70,ROUTE MENZEL ABDERRAHMEN JARZOUNA, Tunisie, Bizerte",['  72 43 27 67  ']
481,1,Ben Khedija Amel Ep B.abdallah ,Pharmacie de jours,  RUE 106 AVENUE TAIEB MHIRI MARCHE MUNICIPAL,Ariana ,"http://maps.google.com/?q= RUE 106 AVENUE TAIEB MHIRI MARCHE MUNICIPAL, Tunisie, Ariana",['  71 51 29 82  ']
482,2,Abid Abdelaziz ,Pharmacie de jours,  40 AVENUE FARHAT HACHED SFAX,Sfax ,"http://maps.google.com/?q= 40 AVENUE FARHAT HACHED SFAX, Tunisie, Sfax",['  74 22 05 27  ']
483,3,Baccar Saoussen Ep Karray ,Pharmacie de jours,  avenue taieb el mhiri,Sfax ,"http://maps.google.com/?q= avenue taieb el mhiri, Tunisie, Sfax",
484,4,Ben Ghachem Rachid ,Pharmacie de jours,  Centre secondaire Cit? Ibn Khaldoun,Tunis ,"http://maps.google.com/?q= Centre secondaire Cit? Ibn Khaldoun, Tunisie, Tunis",['  71 22 47 93  ']
485,5,Nom Adresse Tel Agili Ismail ,Pharmacie de nuit,  CITE COMMERCIALE ANCIENNE N?11 ET 40,Mahdia ,"http://maps.google.com/?q= CITE COMMERCIALE ANCIENNE N?11 ET 40, Tunisie, Mahdia",
486,6,Berriri Abdelfetteh ,Pharmacie de jours,"  3,AVENUE HABIB BOURGUIBA SBIKHA",Kairouan ,"http://maps.google.com/?q= 3,AVENUE HABIB BOURGUIBA SBIKHA, Tunisie, Kairouan",['  77 25 20 39  ']
487,7,Abbes Mohamed Yassine ,Pharmacie de jours,  RUE DE LA JEUNESSE HAJEB LAYOUNE,Kairouan ,"http://maps.google.com/?q= RUE DE LA JEUNESSE HAJEB LAYOUNE, Tunisie, Kairouan",['  77 25 73 58  ']
488,8,Belkhouja Rafiaa ,Pharmacie de jours,  ROUTE DETUNIS_CHIBA,Mahdia ,"http://maps.google.com/?q= ROUTE DETUNIS_CHIBA, Tunisie, Mahdia",['  73 68 11 08  ']
489,9,Ben Hammadou Mohamed ,Pharmacie de jours,  22 Rue Nelsen Mandella,Tunis ,"http://maps.google.com/?q= 22 Rue Nelsen Mandella, Tunisie, Tunis",['  71 89 33 87  ']
490,10,Manita Ali ,Pharmacie de jours,  AVENUE FARHAT HACHED,Tozeur ,"http://maps.google.com/?q= AVENUE FARHAT HACHED, Tunisie, Tozeur",['  76 45 03 70  ']
491,11,Bacha Ahlem ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA,Sousse ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA, Tunisie, Sousse",
492,12,Bradai Khelifa ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA PLACE DU 7 NOVEMBRE_GHRAIBA,Sfax ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA PLACE DU 7 NOVEMBRE_GHRAIBA, Tunisie, Sfax",['  74 23 35 61  ']
493,13,Lazzaar Aicha Lazrag ,Pharmacie de jours,  29 Rue 5 D?cembre 1952 Cit? Yasmia S,Tunis ,"http://maps.google.com/?q= 29 Rue 5 D?cembre 1952 Cit? Yasmia S, Tunisie, Tunis",['  71 27 73 11  ']
494,14,Bouchrika Abdelaziz ,Pharmacie de jours,"  145,AVENUE MOHAMED ALI",Gabès ,"http://maps.google.com/?q= 145,AVENUE MOHAMED ALI, Tunisie, Gabès",['  75 27 23 77  ']
495,15,Blagui Michele ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA,Jendouba ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA, Tunisie, Jendouba",['  78 64 73 76  ']
496,16,Hachaichi Raja Ep Gaafar ,Pharmacie de jours,  71 76 61 10,Ariana ,"http://maps.google.com/?q= 71 76 61 10, Tunisie, Ariana",
497,17,Messaoud Nassima Ep M'hamdi ,Pharmacie de jours,  IMADAT SIDI ZID,Mahdia ,"http://maps.google.com/?q= IMADAT SIDI ZID, Tunisie, Mahdia",
498,18,Hammami Mohamed ,Pharmacie de jours,"  route menzel chaker km 3,5 merkez damak",Sfax ,"http://maps.google.com/?q= route menzel chaker km 3,5 merkez damak, Tunisie, Sfax",
499,19,El Mechy Ines ,Pharmacie de jours,  IMADAT SAIDA - REGUEB,Sidi Bouzid ,"http://maps.google.com/?q= IMADAT SAIDA - REGUEB, Tunisie, Sidi Bouzid",
500,0,Anane Sadok ,Pharmacie de jours,  DAR JERBA,Médenine ,"http://maps.google.com/?q= DAR JERBA, Tunisie, Médenine",['  75 65 03 52  ']
501,1,Messaadi Amel Faouzia Bey ,Pharmacie de jours,  143 avenue habib bourguiba,Tunis ,"http://maps.google.com/?q= 143 avenue habib bourguiba, Tunisie, Tunis",['  71 27 59 79  ']
502,2,Bouhlel Mohamed ,Pharmacie de jours,"  38,RUE TAIEB HACHICHA RTE DE SOUSSE",Sousse ,"http://maps.google.com/?q= 38,RUE TAIEB HACHICHA RTE DE SOUSSE, Tunisie, Sousse",['  73 25 92 90  ']
503,3,Boulakbech Bechir ,Pharmacie de jours,"  67,AVENUE FARHAT HACHED BEJA NORD",Béja ,"http://maps.google.com/?q= 67,AVENUE FARHAT HACHED BEJA NORD, Tunisie, Béja",['  78 45 15 90  ']
504,4,Allani Walid ,Pharmacie de jours,  AVENUE BEIT EL HEKMA KAIROUAN,Kairouan ,"http://maps.google.com/?q= AVENUE BEIT EL HEKMA KAIROUAN, Tunisie, Kairouan",['  77 22 13 57  ']
505,5,Antar Amani ,Pharmacie de jours,  AVENUE JEBRIL BEN JEBRIL - EL BRIJ - TAKELSA,Nabeul ,"http://maps.google.com/?q= AVENUE JEBRIL BEN JEBRIL - EL BRIJ - TAKELSA, Tunisie, Nabeul",
506,6,Ferah Slim ,Pharmacie de jours,  AVENUE HABIB BOURGUIBA,Tunis ,"http://maps.google.com/?q= AVENUE HABIB BOURGUIBA, Tunisie, Tunis",['  71 73 52 20  ']
507,7,Batskikh Svetlana Ep Chaari ,Pharmacie de jours,"  2,CITE JARDIN BARNOUSSA LE KEF",Kef ,"http://maps.google.com/?q= 2,CITE JARDIN BARNOUSSA LE KEF, Tunisie, Kef",['  78 22 46 91  ']
508,8,Nefzaoui Habib ,Pharmacie de jours,  AVENUE 7 NOVEMBRE - FOUSSANA - KASSERINE,Kasserine ,"http://maps.google.com/?q= AVENUE 7 NOVEMBRE - FOUSSANA - KASSERINE, Tunisie, Kasserine",
509,9,Bel Hedi Hedi ,Pharmacie de jours,"  47,AVENUE HABIB BOURGUIBA TEBOURSOUK",Béja ,"http://maps.google.com/?q= 47,AVENUE HABIB BOURGUIBA TEBOURSOUK, Tunisie, Béja",['  78 46 54 73  ']
510,10,Khemiri Lassaad ,Pharmacie de jours,  RUE MONCEF BEY,Jendouba ,"http://maps.google.com/?q= RUE MONCEF BEY, Tunisie, Jendouba",
511,11,Abbes Hassen ,Pharmacie de jours,  29 AVENUE DE LA LIBERTE,Tunis ,"http://maps.google.com/?q= 29 AVENUE DE LA LIBERTE, Tunisie, Tunis",['  71 83 18 50  ']
512,12,Ben Rezig H'midi ,Pharmacie de jours,  ROUHIA,Siliana ,"http://maps.google.com/?q= ROUHIA, Tunisie, Siliana",['  78 89 30 61  ']
513,13,Bouaouaja Leila Ep Belgacem ,Pharmacie de jours,  ROUTE DE JERBA AVENUE MOHAMED 5,Médenine ,"http://maps.google.com/?q= ROUTE DE JERBA AVENUE MOHAMED 5, Tunisie, Médenine",['  75 68 06 00  ']
514,14,Ladhib Abdessattar ,Pharmacie de jours,  33 RUE DE GAFSA,Nabeul ,"http://maps.google.com/?q= 33 RUE DE GAFSA, Tunisie, Nabeul",['  72 28 77 91  ']
515,15,Dhaou Nejiba ,Pharmacie de jours,"  42,RUE 7 NOVEMBRE",Gafsa ,"http://maps.google.com/?q= 42,RUE 7 NOVEMBRE, Tunisie, Gafsa",['  76 22 11 23  ']
516,16,Larbi Fatma Ep Bousaffara ,Pharmacie de jours,  7 RUE JILANI MARCHAND,Ben Arous ,"http://maps.google.com/?q= 7 RUE JILANI MARCHAND, Tunisie, Ben Arous",
517,17,Knani Moez ,Pharmacie de jours,"  9,AVENUE FARHAT HACHED",Mahdia ,"http://maps.google.com/?q= 9,AVENUE FARHAT HACHED, Tunisie, Mahdia",['  73 69 05 45  ']
518,18,Maalej Fethia Ep Trabelsi ,Pharmacie de nuit,  N?2011 AVENUE DE L'INDEPENDANCE DEN DEN,Manouba ,"http://maps.google.com/?q= N?2011 AVENUE DE L'INDEPENDANCE DEN DEN, Tunisie, Manouba",['  71 22 63 70  ']
519,19,Ben Tarjem Kameleddine ,Pharmacie de jours,  ROUTE DE CHEBAOU,Manouba ,"http://maps.google.com/?q= ROUTE DE CHEBAOU, Tunisie, Manouba",['  71 53 51 43  ']
